Local authority code,Local authority name,MSOA code,MSOA name,"Table 1a - Median price paid by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1b - Median price paid for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1c - Median price paid for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1d - Median price paid for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 1e - Median price paid for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2a - Median price paid (newly built dwellings) by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2b - Median price paid (newly built dwellings) for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2c - Median price paid (newly built dwellings) for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2d - Median price paid (newly built dwellings) for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 2e - Median price paid (newly built dwellings) for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3a - Median price paid (existing dwellings) by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3b - Median price paid (existing dwellings) for detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3c - Median price paid (existing dwellings) for semi-detached houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3d - Median price paid (existing dwellings) for terraced houses by MSOA, England and Wales, year ending December 1995 to year ending September 2025","Table 3e - Median price paid (existing dwellings) for flats/maisonettes by MSOA, England and Wales, year ending December 1995 to year ending September 2025"
E06000059,Dorset,E02004275,Burton Bradstock & Chideock,12.602305230664665,15.434283934184815,8.772054034153664,7.858740902268415,,,,,,,12.602305230664665,15.434283934184815,8.772054034153664,7.858740902268415,
E06000059,Dorset,E02004276,Bridport South & West Bay,10.549120670612558,14.513890855540767,10.832318540964572,7.533063351363598,5.1683611339242725,,,,,,10.549120670612558,14.513890855540767,10.832318540964572,7.533063351363598,5.1683611339242725
E06000059,Dorset,E02004278,Dorchester East,9.274730254028489,13.168700971368695,9.812806207697317,8.014499730962022,4.814363795984254,,,,,,9.203930786440486,13.168700971368695,9.812806207697317,8.014499730962022,4.743564328396251
E06000059,Dorset,E02004279,"Owermoigne, Broadmayne & Winterbourne",9.982724929908526,11.469513749256606,9.487128656792502,7.843165019399054,4.317917929257172,7.736257823341169,,,7.824190762085469,4.246268868058112,10.384186230919543,11.327914814080598,9.345529721616494,8.283537707796437,
E06000059,Dorset,E02004280,Chickerell & Chesil Bank,9.84112599473252,12.354507094106653,9.770326527144515,7.929540369856419,,12.389906827900655,13.027102036192687,11.823511087196625,,,9.444648976239698,12.035909489960636,9.487128656792502,7.929540369856419,
E06000059,Dorset,E02004281,Broadwey & Littlemoor,6.8250686754835606,11.75271161960862,7.887060689303617,6.513551018096344,4.049729546033814,,,,,,6.8250686754835606,11.75271161960862,7.887060689303617,6.513551018096344,4.049729546033814
E06000059,Dorset,E02004282,Preston & Lodmoor,10.478321203024553,13.027102036192687,9.345529721616494,7.731301860610008,5.30996006910028,,,,,,10.478321203024553,13.027102036192687,9.345529721616494,7.731301860610008,5.30996006910028
E06000059,Dorset,E02004283,Westham North & Radipole,9.487128656792502,11.823511087196625,8.467616323525247,7.646342499504404,4.814363795984254,12.743904165840673,,11.965110022372631,,,9.310129987822492,11.75271161960862,8.283537707796437,7.221545693976381,4.814363795984254
E06000059,Dorset,E02004284,"Weymouth Town, Melcombe Regis & Rodwell",5.947155277392314,12.673104698252668,11.54031321684461,7.292345161564385,4.446206564526634,,,,,,5.947155277392314,12.673104698252668,11.54031321684461,7.292345161564385,4.446206564526634
E06000059,Dorset,E02004285,Westham South,7.731301860610008,11.398714281668601,8.55257568463085,7.363144629152389,4.531165925632239,10.61992013820056,12.035909489960636,8.14193877262043,,,7.39146441618759,10.442921469230551,8.609215258701255,7.221545693976381,4.531165925632239
E06000059,Dorset,E02004286,Weymouth West,7.561383138398799,13.777576392625527,7.879980742544816,6.6551499532723515,5.564838152417094,,,,,,7.462263883775594,13.777576392625527,7.879980742544816,6.6551499532723515,5.465718897793889
E06000059,Dorset,E02004287,Wyke Regis,7.816261221715613,10.888958115034974,8.495936110560448,7.051626971765172,5.805556342216306,,,,,,7.816261221715613,10.888958115034974,8.495936110560448,7.051626971765172,5.805556342216306
E06000059,Dorset,E02004288,Underhill & The Grove,5.805556342216306,11.497833536291807,7.221545693976381,6.371952082920337,3.6107728469881906,,,,,,5.805556342216306,11.497833536291807,7.221545693976381,6.371952082920337,3.6107728469881906
E06000059,Dorset,E02004289,Southwell & Weston,6.938347823624366,9.062331851264478,7.646342499504404,6.442751550508341,3.7806915691993996,10.265922800260542,11.611112684432612,,,,6.7967488884483584,8.70833451332446,7.5897029254340005,6.301152615332333,3.7806915691993996
E06000059,Dorset,E02007006,Dorchester North,8.495936110560448,17.133471156296906,9.203930786440486,10.336722267848545,5.713517034351901,13.45189884172071,,,,,8.481068222366968,12.630625017699867,9.203930786440486,10.336722267848545,5.550678258899493
E06000059,Dorset,E02007007,Poundbury & Dorchester West,10.195123332672539,16.000679674888843,9.911925462320523,10.676559712270963,7.079946758800374,22.231032822633175,25.771006202033362,,,,9.628727591968508,13.593497776896717,9.911925462320523,10.634080031718161,7.079946758800374
